市区町村,その他,総数,中国,台湾,インドネシア,韓国,ネパール,フィリピン,タイ,ベトナム,米国,ブラジル
総数,2126.0,17557.0,3476.0,191.0,680.0,913.0,514.0,2557.0,338.0,6377.0,338.0,47.0
阿蘇郡高森町,19.0,87.0,9.0,0.0,0.0,12.0,0.0,10.0,3.0,32.0,2.0,0.0
阿蘇郡産山村,5.0,38.0,1.0,0.0,0.0,17.0,2.0,1.0,0.0,11.0,1.0,0.0
阿蘇郡小国町,2.0,58.0,6.0,10.0,2.0,3.0,2.0,5.0,0.0,28.0,0.0,0.0
阿蘇郡西原村,16.0,107.0,3.0,0.0,0.0,2.0,0.0,10.0,0.0,74.0,2.0,0.0
阿蘇郡南阿蘇村,45.0,103.0,5.0,1.0,1.0,2.0,22.0,10.0,2.0,11.0,4.0,0.0
阿蘇郡南小国町,8.0,111.0,24.0,8.0,0.0,14.0,29.0,7.0,0.0,19.0,2.0,0.0
阿蘇市,126.0,499.0,60.0,0.0,28.0,9.0,20.0,66.0,0.0,184.0,5.0,1.0
葦北郡芦北町,3.0,41.0,10.0,0.0,5.0,3.0,0.0,8.0,0.0,10.0,2.0,0.0
葦北郡津奈木町,0.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0
宇城市,54.0,598.0,77.0,1.0,41.0,11.0,10.0,88.0,2.0,307.0,6.0,1.0
宇土市,32.0,247.0,32.0,2.0,7.0,10.0,0.0,19.0,3.0,135.0,7.0,0.0
下益城郡美里町,5.0,80.0,17.0,0.0,2.0,1.0,3.0,12.0,0.0,38.0,2.0,0.0
菊池郡菊陽町,62.0,447.0,152.0,16.0,19.0,38.0,16.0,14.0,22.0,104.0,3.0,1.0
菊池郡大津町,42.0,445.0,65.0,6.0,4.0,18.0,13.0,74.0,4.0,208.0,10.0,1.0
菊池市,57.0,781.0,54.0,2.0,25.0,18.0,2.0,128.0,27.0,452.0,16.0,0.0
球磨郡あさぎり町,0.0,263.0,31.0,0.0,3.0,15.0,0.0,12.0,0.0,198.0,3.0,1.0
球磨郡球磨村,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
球磨郡錦町,6.0,59.0,7.0,1.0,3.0,4.0,1.0,15.0,8.0,12.0,2.0,0.0
球磨郡五木村,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
球磨郡山江村,1.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
