都道府県市区町村,総数,中国,ベトナム,韓国,フィリピン,ブラジル,ネパール,インドネシア,米国,タイ,台湾,その他
熊本県,18807.0,3317.0,6037.0,931.0,2845.0,52.0,888.0,1131.0,372.0,356.0,233.0,2645.0
熊本市,6885.0,1916.0,1362.0,535.0,628.0,26.0,523.0,380.0,206.0,131.0,135.0,1043.0
熊本市中央区,2667.0,922.0,224.0,275.0,189.0,7.0,277.0,78.0,80.0,57.0,77.0,481.0
熊本市東区,1335.0,349.0,279.0,90.0,147.0,11.0,108.0,66.0,59.0,17.0,25.0,184.0
熊本市西区,765.0,245.0,209.0,59.0,58.0,1.0,27.0,8.0,27.0,12.0,12.0,107.0
熊本市南区,1025.0,212.0,279.0,39.0,109.0,5.0,13.0,175.0,15.0,14.0,3.0,161.0
熊本市北区,1093.0,188.0,371.0,72.0,125.0,2.0,98.0,53.0,25.0,31.0,18.0,110.0
八代市,2828.0,374.0,1033.0,27.0,802.0,3.0,25.0,112.0,21.0,57.0,8.0,366.0
人吉市,262.0,23.0,102.0,9.0,41.0,2.0,12.0,35.0,9.0,1.0,3.0,25.0
荒尾市,343.0,38.0,108.0,39.0,44.0,1.0,1.0,18.0,4.0,7.0,1.0,82.0
水俣市,85.0,2.0,5.0,12.0,38.0,1.0,0.0,1.0,7.0,2.0,0.0,17.0
玉名市,1045.0,76.0,516.0,21.0,93.0,1.0,16.0,157.0,10.0,42.0,7.0,106.0
山鹿市,402.0,45.0,118.0,12.0,129.0,3.0,10.0,40.0,4.0,3.0,3.0,35.0
菊池市,823.0,38.0,483.0,19.0,142.0,0.0,10.0,30.0,16.0,27.0,2.0,56.0
宇土市,303.0,29.0,146.0,10.0,34.0,1.0,6.0,13.0,8.0,5.0,1.0,50.0
上天草市,102.0,15.0,22.0,2.0,22.0,1.0,6.0,8.0,4.0,0.0,1.0,21.0
宇城市,615.0,73.0,267.0,9.0,93.0,5.0,21.0,63.0,4.0,2.0,1.0,77.0
阿蘇市,577.0,38.0,177.0,10.0,87.0,1.0,39.0,54.0,9.0,2.0,0.0,160.0
天草市,339.0,43.0,141.0,17.0,41.0,1.0,2.0,11.0,12.0,1.0,1.0,69.0
合志市,354.0,76.0,54.0,31.0,58.0,1.0,10.0,56.0,5.0,4.0,12.0,47.0
美里町,79.0,15.0,28.0,1.0,12.0,0.0,3.0,6.0,2.0,0.0,0.0,12.0
玉東町,29.0,6.0,3.0,2.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,4.0
南関町,156.0,11.0,83.0,3.0,40.0,0.0,7.0,8.0,1.0,0.0,0.0,3.0
長洲町,545.0,27.0,307.0,7.0,169.0,0.0,14.0,3.0,5.0,0.0,1.0,12.0
和水町,80.0,6.0,19.0,2.0,9.0,0.0,10.0,7.0,0.0,7.0,1.0,19.0
大津町,562.0,79.0,243.0,17.0,126.0,2.0,21.0,10.0,7.0,4.0,10.0,43.0
菊陽町,499.0,157.0,114.0,37.0,15.0,0.0,29.0,15.0,3.0,20.0,23.0,86.0
南小国町,111.0,22.0,17.0,12.0,11.0,0.0,36.0,0.0,1.0,0.0,6.0,6.0
小国町,80.0,6.0,41.0,3.0,5.0,0.0,4.0,6.0,0.0,0.0,9.0,6.0
産山村,46.0,2.0,11.0,13.0,4.0,0.0,12.0,0.0,1.0,0.0,0.0,3.0
高森町,99.0,7.0,33.0,11.0,10.0,0.0,0.0,0.0,2.0,3.0,0.0,33.0
西原村,104.0,3.0,63.0,2.0,13.0,0.0,2.0,1.0,2.0,0.0,0.0,18.0
南阿蘇村,123.0,5.0,5.0,2.0,9.0,0.0,41.0,2.0,6.0,2.0,1.0,50.0
御船町,105.0,26.0,40.0,10.0,5.0,0.0,0.0,7.0,3.0,1.0,2.0,11.0
嘉島町,123.0,17.0,30.0,7.0,6.0,0.0,2.0,32.0,0.0,0.0,0.0,29.0
益城町,150.0,15.0,73.0,9.0,23.0,1.0,4.0,2.0,2.0,4.0,1.0,16.0
甲佐町,90.0,4.0,45.0,2.0,10.0,0.0,6.0,5.0,2.0,0.0,1.0,15.0
山都町,114.0,6.0,12.0,3.0,28.0,0.0,3.0,16.0,2.0,3.0,0.0,41.0
氷川町,194.0,51.0,38.0,5.0,38.0,0.0,0.0,12.0,0.0,7.0,0.0,43.0
芦北町,50.0,10.0,10.0,2.0,7.0,0.0,0.0,7.0,2.0,0.0,0.0,12.0
津奈木町,10.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0
錦町,69.0,9.0,12.0,4.0,15.0,0.0,1.0,4.0,1.0,15.0,1.0,7.0
多良木町,53.0,1.0,36.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
湯前町,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
水上村,11.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
相良村,24.0,3.0,3.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0
五木村,21.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山江村,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
球磨村,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
あさぎり町,239.0,21.0,168.0,14.0,13.0,1.0,10.0,4.0,4.0,0.0,0.0,4.0
苓北町,64.0,12.0,44.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
