都道府県市区町村,総数,中国,ベトナム,韓国,フィリピン,ブラジル,ネパール,インドネシア,米国,台湾,タイ,その他
熊本県,"20,660","3,201","6,251",949,"3,044",74,"1,069","1,577",394,349,377,"3,375"
熊本市,"7,434","1,948","1,446",546,658,31,619,409,221,186,122,"1,248"
熊本市中央区,"2,943",980,225,286,200,7,329,110,83,100,51,572
熊本市東区,"1,500",356,333,94,163,11,124,87,64,36,16,216
熊本市西区,841,243,224,55,52,0,32,27,27,14,18,149
熊本市南区,982,182,272,41,111,5,17,129,22,4,9,190
熊本市北区,"1,168",187,392,70,132,8,117,56,25,32,28,121
八代市,"3,123",314,"1,026",32,901,6,31,233,18,8,74,480
人吉市,246,18,81,11,44,2,14,40,7,3,1,25
荒尾市,371,44,92,39,45,5,4,21,4,4,10,103
水俣市,103,1,17,12,36,1,0,11,8,0,2,15
玉名市,"1,150",58,509,21,108,2,22,193,12,7,42,176
山鹿市,416,43,101,13,134,8,7,51,4,3,5,47
菊池市,"1,007",42,555,20,175,0,14,76,15,2,36,72
宇土市,309,27,142,10,35,2,18,14,9,1,3,48
上天草市,138,13,39,2,20,1,6,18,5,2,0,32
宇城市,689,72,305,9,90,5,24,75,4,1,2,102
阿蘇市,600,35,158,9,94,1,46,59,8,11,2,177
天草市,401,43,139,17,49,1,12,22,14,1,3,100
合志市,420,81,76,30,60,2,16,54,4,21,6,70
美里町,90,10,28,1,15,0,6,9,3,0,0,18
玉東町,50,6,3,2,5,0,0,12,0,0,5,17
南関町,185,8,95,3,44,0,9,18,1,0,0,7
長洲町,616,17,338,9,181,0,15,14,5,1,0,36
和水町,78,5,19,2,8,0,8,10,0,1,4,21
大津町,601,79,253,13,103,3,41,35,6,17,3,48
菊陽町,547,153,122,40,16,0,25,26,3,41,19,102
南小国町,121,19,18,14,13,0,35,0,1,14,0,7
小国町,92,7,30,3,5,0,7,12,0,16,0,12
産山村,50,2,12,12,3,0,13,2,2,0,0,4
高森町,116,3,38,8,10,1,0,3,4,0,3,46
西原村,153,0,104,2,12,0,2,0,2,0,0,31
南阿蘇村,140,5,9,2,9,0,41,3,6,3,2,60
御船町,114,14,40,11,5,0,0,26,2,1,1,14
嘉島町,138,17,28,6,6,0,2,50,0,0,0,29
益城町,150,15,58,9,19,1,4,9,2,1,3,29
甲佐町,102,3,48,2,12,0,6,8,2,1,0,20
山都町,146,6,15,3,31,0,6,26,2,0,3,54
氷川町,224,43,39,5,44,0,0,21,0,0,10,62
芦北町,54,10,9,3,6,0,2,8,2,0,0,14
津奈木町,14,0,2,3,0,0,0,0,2,1,0,6
錦町,69,9,6,4,15,0,1,3,3,1,15,12
多良木町,76,1,56,1,12,0,1,0,0,0,0,5
湯前町,5,1,0,0,0,0,0,0,2,0,1,1
水上村,10,5,2,0,0,0,0,0,2,1,0,0
相良村,20,3,0,3,4,1,0,2,0,0,0,7
五木村,5,2,2,0,0,0,0,0,1,0,0,0
山江村,7,2,0,0,3,0,0,0,2,0,0,0
球磨村,3,0,2,0,1,0,0,0,0,0,0,0
あさぎり町,205,11,140,14,13,1,11,4,6,0,0,5
苓北町,72,6,49,3,0,0,1,0,0,0,0,13
