市区町村,総数,中国,ベトナム,韓国,フィリピン,ブラジル,ネパール,インドネシア,ミャンマー,米国,台湾,その他
熊本県,22318.0,3246.0,6387.0,1006.0,3304.0,88.0,1272.0,2013.0,855.0,404.0,511.0,3232.0
熊本市,8023.0,1997.0,1449.0,585.0,712.0,36.0,751.0,538.0,206.0,231.0,292.0,1226.0
熊本市中央区,3149.0,1019.0,222.0,311.0,228.0,9.0,395.0,113.0,49.0,87.0,146.0,570.0
熊本市東区,1617.0,383.0,328.0,101.0,159.0,10.0,148.0,112.0,46.0,69.0,63.0,198.0
熊本市西区,868.0,253.0,221.0,55.0,53.0,0.0,39.0,36.0,17.0,28.0,19.0,147.0
熊本市南区,1062.0,165.0,247.0,45.0,130.0,6.0,22.0,194.0,70.0,23.0,2.0,158.0
熊本市北区,1327.0,177.0,431.0,73.0,142.0,11.0,147.0,83.0,24.0,24.0,62.0,153.0
八代市,3274.0,292.0,1013.0,36.0,942.0,11.0,33.0,323.0,38.0,18.0,9.0,559.0
人吉市,321.0,16.0,117.0,13.0,45.0,2.0,22.0,58.0,13.0,7.0,4.0,24.0
荒尾市,376.0,39.0,95.0,39.0,56.0,5.0,2.0,26.0,59.0,4.0,4.0,47.0
水俣市,120.0,1.0,15.0,12.0,38.0,1.0,0.0,16.0,7.0,8.0,0.0,22.0
玉名市,1188.0,55.0,486.0,22.0,110.0,1.0,24.0,222.0,66.0,13.0,6.0,183.0
山鹿市,475.0,45.0,120.0,15.0,142.0,8.0,8.0,53.0,23.0,4.0,3.0,54.0
菊池市,1129.0,42.0,604.0,21.0,229.0,0.0,16.0,102.0,20.0,13.0,3.0,79.0
宇土市,393.0,26.0,171.0,11.0,32.0,3.0,16.0,46.0,10.0,9.0,1.0,68.0
上天草市,145.0,14.0,38.0,1.0,18.0,1.0,10.0,26.0,15.0,5.0,2.0,15.0
宇城市,744.0,67.0,313.0,9.0,109.0,5.0,25.0,82.0,24.0,5.0,1.0,104.0
阿蘇市,673.0,38.0,165.0,14.0,100.0,1.0,64.0,70.0,31.0,8.0,21.0,161.0
天草市,421.0,39.0,131.0,17.0,48.0,1.0,12.0,47.0,55.0,15.0,1.0,55.0
合志市,451.0,76.0,95.0,28.0,66.0,1.0,21.0,62.0,12.0,4.0,26.0,60.0
美里町,112.0,10.0,28.0,1.0,15.0,0.0,6.0,19.0,19.0,4.0,0.0,10.0
玉東町,52.0,6.0,3.0,2.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,24.0
南関町,200.0,6.0,85.0,3.0,45.0,0.0,9.0,31.0,9.0,1.0,0.0,11.0
長洲町,712.0,18.0,379.0,8.0,226.0,1.0,15.0,15.0,11.0,5.0,3.0,31.0
和水町,79.0,5.0,19.0,2.0,6.0,0.0,8.0,10.0,5.0,0.0,1.0,23.0
大津町,634.0,93.0,252.0,14.0,94.0,5.0,49.0,29.0,15.0,5.0,22.0,56.0
菊陽町,598.0,158.0,112.0,47.0,18.0,0.0,23.0,32.0,42.0,4.0,77.0,85.0
南小国町,160.0,32.0,25.0,12.0,17.0,0.0,45.0,4.0,7.0,1.0,9.0,8.0
小国町,122.0,5.0,40.0,3.0,8.0,0.0,13.0,14.0,11.0,0.0,14.0,14.0
産山村,56.0,2.0,10.0,13.0,3.0,0.0,20.0,2.0,0.0,2.0,0.0,4.0
高森町,125.0,2.0,41.0,9.0,8.0,2.0,5.0,10.0,3.0,4.0,0.0,41.0
西原村,152.0,2.0,95.0,2.0,10.0,0.0,4.0,3.0,9.0,2.0,0.0,25.0
南阿蘇村,145.0,4.0,10.0,2.0,10.0,0.0,40.0,4.0,25.0,6.0,6.0,38.0
御船町,130.0,14.0,52.0,11.0,4.0,0.0,0.0,27.0,10.0,2.0,1.0,9.0
嘉島町,129.0,16.0,28.0,6.0,6.0,0.0,2.0,44.0,20.0,0.0,0.0,7.0
益城町,176.0,23.0,51.0,9.0,30.0,2.0,4.0,17.0,19.0,2.0,1.0,18.0
甲佐町,106.0,4.0,51.0,2.0,11.0,0.0,3.0,9.0,17.0,2.0,0.0,7.0
山都町,133.0,7.0,12.0,3.0,30.0,0.0,5.0,19.0,5.0,2.0,0.0,50.0
氷川町,230.0,42.0,32.0,4.0,50.0,0.0,0.0,20.0,17.0,0.0,1.0,64.0
芦北町,60.0,9.0,10.0,3.0,6.0,0.0,2.0,8.0,12.0,2.0,0.0,8.0
津奈木町,14.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0
錦町,85.0,11.0,19.0,4.0,18.0,0.0,1.0,3.0,0.0,3.0,1.0,25.0
多良木町,64.0,1.0,45.0,1.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
湯前町,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
水上村,13.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
相良村,24.0,3.0,1.0,3.0,4.0,1.0,1.0,4.0,6.0,0.0,0.0,1.0
五木村,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
山江村,8.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
球磨村,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
あさぎり町,191.0,10.0,128.0,13.0,14.0,1.0,11.0,5.0,0.0,5.0,0.0,4.0
苓北町,63.0,5.0,40.0,2.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,3.0
