国籍・地域,在留資格,年齢,性別,都道府県,在留外国人数
アフガニスタン,16：技術・人文知識・国際業務,49,1：男,43：熊本県,1
アフガニスタン,31：留学,30,1：男,43：熊本県,1
アフガニスタン,31：留学,30,2：女,43：熊本県,1
アフガニスタン,31：留学,32,1：男,43：熊本県,2
アフガニスタン,31：留学,34,1：男,43：熊本県,2
アフガニスタン,31：留学,37,1：男,43：熊本県,1
アフガニスタン,33：家族滞在,0,1：男,43：熊本県,1
アフガニスタン,33：家族滞在,0,2：女,43：熊本県,1
アフガニスタン,33：家族滞在,2,2：女,43：熊本県,1
アフガニスタン,33：家族滞在,3,1：男,43：熊本県,1
アフガニスタン,33：家族滞在,4,2：女,43：熊本県,1
アフガニスタン,33：家族滞在,5,2：女,43：熊本県,1
アフガニスタン,33：家族滞在,6,1：男,43：熊本県,1
アフガニスタン,33：家族滞在,6,2：女,43：熊本県,1
アフガニスタン,33：家族滞在,8,2：女,43：熊本県,1
アフガニスタン,33：家族滞在,9,1：男,43：熊本県,1
アフガニスタン,33：家族滞在,24,2：女,43：熊本県,1
アフガニスタン,33：家族滞在,30,2：女,43：熊本県,2
アフガニスタン,33：家族滞在,32,2：女,43：熊本県,1
アフガニスタン,35：永住者,67,1：男,43：熊本県,1
アラブ首長国連邦,31：留学,22,1：男,43：熊本県,1
ミャンマー,16：技術・人文知識・国際業務,24,1：男,43：熊本県,1
ミャンマー,16：技術・人文知識・国際業務,25,1：男,43：熊本県,2
ミャンマー,16：技術・人文知識・国際業務,25,2：女,43：熊本県,1
ミャンマー,16：技術・人文知識・国際業務,26,1：男,43：熊本県,5
ミャンマー,16：技術・人文知識・国際業務,26,2：女,43：熊本県,2
ミャンマー,16：技術・人文知識・国際業務,27,1：男,43：熊本県,3
ミャンマー,16：技術・人文知識・国際業務,28,2：女,43：熊本県,3
ミャンマー,16：技術・人文知識・国際業務,30,1：男,43：熊本県,1
ミャンマー,16：技術・人文知識・国際業務,31,1：男,43：熊本県,1
ミャンマー,16：技術・人文知識・国際業務,31,2：女,43：熊本県,2
ミャンマー,16：技術・人文知識・国際業務,33,2：女,43：熊本県,1
ミャンマー,16：技術・人文知識・国際業務,39,2：女,43：熊本県,1
ミャンマー,16：技術・人文知識・国際業務,42,2：女,43：熊本県,1
ミャンマー,21：特定技能１号,26,2：女,43：熊本県,1
ミャンマー,21：特定技能１号,28,2：女,43：熊本県,3
ミャンマー,21：特定技能１号,29,2：女,43：熊本県,2
ミャンマー,21：特定技能１号,30,1：男,43：熊本県,1
ミャンマー,21：特定技能１号,35,2：女,43：熊本県,1
