市区町村コード,市区町村,都道府県,国籍・地域,在留資格,在留外国人数
43101,熊本市中央区,43：熊本県,アフガニスタン,留学,4
43101,熊本市中央区,43：熊本県,アフガニスタン,家族滞在,7
43101,熊本市中央区,43：熊本県,アフガニスタン,特定活動,6
43101,熊本市中央区,43：熊本県,アフガニスタン,定住者,3
43101,熊本市中央区,43：熊本県,イラン,留学,5
43101,熊本市中央区,43：熊本県,インド,教授,5
43101,熊本市中央区,43：熊本県,インド,技術・人文知識・国際業務,5
43101,熊本市中央区,43：熊本県,インド,技能,3
43101,熊本市中央区,43：熊本県,インド,文化活動,1
43101,熊本市中央区,43：熊本県,インド,留学,3
43101,熊本市中央区,43：熊本県,インド,家族滞在,3
43101,熊本市中央区,43：熊本県,インド,永住者,3
43101,熊本市中央区,43：熊本県,インドネシア,技術・人文知識・国際業務,8
43101,熊本市中央区,43：熊本県,インドネシア,特定技能１号,19
43101,熊本市中央区,43：熊本県,インドネシア,技能実習１号ロ,32
43101,熊本市中央区,43：熊本県,インドネシア,技能実習２号ロ,50
43101,熊本市中央区,43：熊本県,インドネシア,技能実習３号ロ,2
43101,熊本市中央区,43：熊本県,インドネシア,留学,35
43101,熊本市中央区,43：熊本県,インドネシア,家族滞在,12
43101,熊本市中央区,43：熊本県,インドネシア,特定活動,2
43101,熊本市中央区,43：熊本県,インドネシア,永住者,4
43101,熊本市中央区,43：熊本県,インドネシア,日本人の配偶者等,1
43101,熊本市中央区,43：熊本県,オマーン,留学,1
43101,熊本市中央区,43：熊本県,韓国,教授,4
43101,熊本市中央区,43：熊本県,韓国,宗教,2
43101,熊本市中央区,43：熊本県,韓国,高度専門職１号ロ,1
43101,熊本市中央区,43：熊本県,韓国,経営・管理,1
43101,熊本市中央区,43：熊本県,韓国,医療,1
43101,熊本市中央区,43：熊本県,韓国,技術・人文知識・国際業務,57
43101,熊本市中央区,43：熊本県,韓国,企業内転勤,5
43101,熊本市中央区,43：熊本県,韓国,介護,1
43101,熊本市中央区,43：熊本県,韓国,興行,1
43101,熊本市中央区,43：熊本県,韓国,文化活動,2
43101,熊本市中央区,43：熊本県,韓国,留学,32
43101,熊本市中央区,43：熊本県,韓国,家族滞在,17
43101,熊本市中央区,43：熊本県,韓国,特定活動,6
43101,熊本市中央区,43：熊本県,韓国,永住者,71
43101,熊本市中央区,43：熊本県,韓国,日本人の配偶者等,14
43101,熊本市中央区,43：熊本県,韓国,定住者,9
43101,熊本市中央区,43：熊本県,韓国,特別永住者,97
43101,熊本市中央区,43：熊本県,朝鮮,特別永住者,4
43101,熊本市中央区,43：熊本県,カンボジア,技能実習２号ロ,4
43101,熊本市中央区,43：熊本県,カンボジア,技能実習３号ロ,2
43101,熊本市中央区,43：熊本県,シンガポール,教育,1
43101,熊本市中央区,43：熊本県,シンガポール,日本人の配偶者等,2
43101,熊本市中央区,43：熊本県,スリランカ,技術・人文知識・国際業務,7
43101,熊本市中央区,43：熊本県,スリランカ,技能,16
43101,熊本市中央区,43：熊本県,スリランカ,特定技能１号,3
43101,熊本市中央区,43：熊本県,スリランカ,技能実習１号ロ,4
43101,熊本市中央区,43：熊本県,スリランカ,技能実習２号ロ,3
43101,熊本市中央区,43：熊本県,スリランカ,留学,9
43101,熊本市中央区,43：熊本県,スリランカ,家族滞在,3
43101,熊本市中央区,43：熊本県,スリランカ,永住者,8
43101,熊本市中央区,43：熊本県,スリランカ,定住者,1
43101,熊本市中央区,43：熊本県,タイ,教授,1
43101,熊本市中央区,43：熊本県,タイ,経営・管理,1
43101,熊本市中央区,43：熊本県,タイ,技術・人文知識・国際業務,9
43101,熊本市中央区,43：熊本県,タイ,企業内転勤,2
43101,熊本市中央区,43：熊本県,タイ,技能,1
43101,熊本市中央区,43：熊本県,タイ,留学,18
43101,熊本市中央区,43：熊本県,タイ,永住者,5
43101,熊本市中央区,43：熊本県,タイ,日本人の配偶者等,6
43101,熊本市中央区,43：熊本県,タイ,定住者,1
43101,熊本市中央区,43：熊本県,台湾,高度専門職１号ロ,57
43101,熊本市中央区,43：熊本県,台湾,高度専門職１号ハ,1
43101,熊本市中央区,43：熊本県,台湾,経営・管理,3
43101,熊本市中央区,43：熊本県,台湾,技術・人文知識・国際業務,125
43101,熊本市中央区,43：熊本県,台湾,企業内転勤,58
43101,熊本市中央区,43：熊本県,台湾,留学,15
43101,熊本市中央区,43：熊本県,台湾,家族滞在,54
43101,熊本市中央区,43：熊本県,台湾,特定活動,10
43101,熊本市中央区,43：熊本県,台湾,永住者,29
43101,熊本市中央区,43：熊本県,台湾,日本人の配偶者等,8
43101,熊本市中央区,43：熊本県,台湾,永住者の配偶者等,1
43101,熊本市中央区,43：熊本県,台湾,定住者,4
43101,熊本市中央区,43：熊本県,中国,教授,12
43101,熊本市中央区,43：熊本県,中国,宗教,2
43101,熊本市中央区,43：熊本県,中国,高度専門職１号イ,5
43101,熊本市中央区,43：熊本県,中国,高度専門職１号ロ,7
43101,熊本市中央区,43：熊本県,中国,高度専門職２号,1
43101,熊本市中央区,43：熊本県,中国,経営・管理,10
43101,熊本市中央区,43：熊本県,中国,技術・人文知識・国際業務,90
43101,熊本市中央区,43：熊本県,中国,企業内転勤,1
43101,熊本市中央区,43：熊本県,中国,介護,2
43101,熊本市中央区,43：熊本県,中国,技能,7
43101,熊本市中央区,43：熊本県,中国,特定技能１号,8
43101,熊本市中央区,43：熊本県,中国,文化活動,6
43101,熊本市中央区,43：熊本県,中国,留学,431
43101,熊本市中央区,43：熊本県,中国,家族滞在,52
43101,熊本市中央区,43：熊本県,中国,特定活動,12
43101,熊本市中央区,43：熊本県,中国,永住者,387
43101,熊本市中央区,43：熊本県,中国,日本人の配偶者等,25
43101,熊本市中央区,43：熊本県,中国,永住者の配偶者等,16
43101,熊本市中央区,43：熊本県,中国,定住者,29
43101,熊本市中央区,43：熊本県,トルコ,教授,1
43101,熊本市中央区,43：熊本県,トルコ,教育,1
43101,熊本市中央区,43：熊本県,トルコ,文化活動,2
43101,熊本市中央区,43：熊本県,トルコ,留学,2
43101,熊本市中央区,43：熊本県,トルコ,家族滞在,2
43101,熊本市中央区,43：熊本県,トルコ,日本人の配偶者等,1
43101,熊本市中央区,43：熊本県,ネパール,教授,1
43101,熊本市中央区,43：熊本県,ネパール,経営・管理,2
43101,熊本市中央区,43：熊本県,ネパール,技術・人文知識・国際業務,85
43101,熊本市中央区,43：熊本県,ネパール,介護,8
43101,熊本市中央区,43：熊本県,ネパール,技能,18
43101,熊本市中央区,43：熊本県,ネパール,特定技能１号,13
43101,熊本市中央区,43：熊本県,ネパール,留学,304
43101,熊本市中央区,43：熊本県,ネパール,家族滞在,69
43101,熊本市中央区,43：熊本県,ネパール,特定活動,5
43101,熊本市中央区,43：熊本県,ネパール,日本人の配偶者等,1
43101,熊本市中央区,43：熊本県,パキスタン,高度専門職１号イ,1
43101,熊本市中央区,43：熊本県,パキスタン,経営・管理,3
43101,熊本市中央区,43：熊本県,パキスタン,技術・人文知識・国際業務,2
43101,熊本市中央区,43：熊本県,パキスタン,技能,4
43101,熊本市中央区,43：熊本県,パキスタン,留学,8
43101,熊本市中央区,43：熊本県,パキスタン,家族滞在,3
43101,熊本市中央区,43：熊本県,パキスタン,永住者,4
43101,熊本市中央区,43：熊本県,バングラデシュ,教授,5
43101,熊本市中央区,43：熊本県,バングラデシュ,技術・人文知識・国際業務,1
43101,熊本市中央区,43：熊本県,バングラデシュ,介護,1
43101,熊本市中央区,43：熊本県,バングラデシュ,特定技能１号,1
43101,熊本市中央区,43：熊本県,バングラデシュ,技能実習１号ロ,4
43101,熊本市中央区,43：熊本県,バングラデシュ,技能実習２号ロ,4
43101,熊本市中央区,43：熊本県,バングラデシュ,技能実習３号ロ,1
43101,熊本市中央区,43：熊本県,バングラデシュ,文化活動,1
43101,熊本市中央区,43：熊本県,バングラデシュ,留学,20
43101,熊本市中央区,43：熊本県,バングラデシュ,家族滞在,11
43101,熊本市中央区,43：熊本県,バングラデシュ,永住者,3
43101,熊本市中央区,43：熊本県,バングラデシュ,永住者の配偶者等,2
43101,熊本市中央区,43：熊本県,フィリピン,教授,1
