都道府県,市区町村,国籍・地域,在留資格,年齢（５歳階級）,性別,在留外国人数
43：熊本県,熊本市中央区,アフガニスタン,16：技術・人文知識・国際業務,07_30～34歳,1:男,1 
43：熊本県,熊本市中央区,アフガニスタン,31：留学,06_25～29歳,2:女,1 
43：熊本県,熊本市中央区,アフガニスタン,33：家族滞在,01_０～４歳,2:女,1 
43：熊本県,熊本市中央区,アフガニスタン,34：特定活動,01_０～４歳,2:女,2 
43：熊本県,熊本市中央区,アフガニスタン,34：特定活動,07_30～34歳,2:女,1 
43：熊本県,熊本市中央区,アフガニスタン,34：特定活動,08_35～39歳,1:男,1 
43：熊本県,熊本市中央区,アフガニスタン,38：定住者,01_０～４歳,1:男,1 
43：熊本県,熊本市中央区,アフガニスタン,38：定住者,07_30～34歳,2:女,1 
43：熊本県,熊本市中央区,アフガニスタン,38：定住者,08_35～39歳,1:男,1 
43：熊本県,熊本市中央区,イラン,31：留学,06_25～29歳,1:男,2 
43：熊本県,熊本市中央区,イラン,31：留学,06_25～29歳,2:女,2 
43：熊本県,熊本市中央区,イラン,31：留学,10_45～49歳,2:女,1 
43：熊本県,熊本市中央区,イラン,38：定住者,11_50～54歳,1:男,1 
43：熊本県,熊本市中央区,インド,03：教授,07_30～34歳,2:女,1 
43：熊本県,熊本市中央区,インド,03：教授,08_35～39歳,1:男,1 
43：熊本県,熊本市中央区,インド,03：教授,10_45～49歳,1:男,1 
43：熊本県,熊本市中央区,インド,11：経営・管理,14_65～69歳,1:男,1 
43：熊本県,熊本市中央区,インド,16：技術・人文知識・国際業務,05_20～24歳,1:男,1 
43：熊本県,熊本市中央区,インド,16：技術・人文知識・国際業務,05_20～24歳,2:女,1 
43：熊本県,熊本市中央区,インド,16：技術・人文知識・国際業務,06_25～29歳,1:男,5 
43：熊本県,熊本市中央区,インド,16：技術・人文知識・国際業務,07_30～34歳,1:男,1 
43：熊本県,熊本市中央区,インド,20：技能,09_40～44歳,1:男,3 
43：熊本県,熊本市中央区,インド,20：技能,10_45～49歳,1:男,1 
43：熊本県,熊本市中央区,インド,20：技能,11_50～54歳,1:男,1 
43：熊本県,熊本市中央区,インド,20：技能,12_55～59歳,1:男,1 
43：熊本県,熊本市中央区,インド,31：留学,06_25～29歳,1:男,1 
43：熊本県,熊本市中央区,インド,31：留学,06_25～29歳,2:女,1 
43：熊本県,熊本市中央区,インド,31：留学,07_30～34歳,2:女,2 
43：熊本県,熊本市中央区,インド,33：家族滞在,01_０～４歳,1:男,1 
43：熊本県,熊本市中央区,インド,33：家族滞在,07_30～34歳,2:女,1 
43：熊本県,熊本市中央区,インド,33：家族滞在,10_45～49歳,2:女,1 
43：熊本県,熊本市中央区,インド,33：家族滞在,12_55～59歳,2:女,1 
43：熊本県,熊本市中央区,インド,35：永住者,08_35～39歳,1:男,1 
43：熊本県,熊本市中央区,インド,35：永住者,09_40～44歳,1:男,1 
43：熊本県,熊本市中央区,インド,35：永住者,12_55～59歳,1:男,1 
43：熊本県,熊本市中央区,インドネシア,03：教授,08_35～39歳,2:女,1 
43：熊本県,熊本市中央区,インドネシア,16：技術・人文知識・国際業務,06_25～29歳,1:男,3 
43：熊本県,熊本市中央区,インドネシア,16：技術・人文知識・国際業務,06_25～29歳,2:女,1 
43：熊本県,熊本市中央区,インドネシア,16：技術・人文知識・国際業務,07_30～34歳,1:男,3 
43：熊本県,熊本市中央区,インドネシア,16：技術・人文知識・国際業務,07_30～34歳,2:女,1 
43：熊本県,熊本市中央区,インドネシア,16：技術・人文知識・国際業務,08_35～39歳,1:男,1 
43：熊本県,熊本市中央区,インドネシア,21：特定技能１号,05_20～24歳,1:男,5 
43：熊本県,熊本市中央区,インドネシア,21：特定技能１号,05_20～24歳,2:女,5 
43：熊本県,熊本市中央区,インドネシア,21：特定技能１号,06_25～29歳,1:男,8 
43：熊本県,熊本市中央区,インドネシア,21：特定技能１号,06_25～29歳,2:女,6 
43：熊本県,熊本市中央区,インドネシア,21：特定技能１号,07_30～34歳,1:男,1 
43：熊本県,熊本市中央区,インドネシア,21：特定技能１号,08_35～39歳,1:男,2 
43：熊本県,熊本市中央区,インドネシア,21：特定技能１号,08_35～39歳,2:女,1 
43：熊本県,熊本市中央区,インドネシア,21：特定技能１号,09_40～44歳,1:男,1 
43：熊本県,熊本市中央区,インドネシア,24：技能実習１号ロ,04_15～19歳,1:男,4 
43：熊本県,熊本市中央区,インドネシア,24：技能実習１号ロ,04_15～19歳,2:女,1 
43：熊本県,熊本市中央区,インドネシア,24：技能実習１号ロ,05_20～24歳,1:男,13 
43：熊本県,熊本市中央区,インドネシア,24：技能実習１号ロ,05_20～24歳,2:女,7 
