市区町村コード,都道府県,市区町村,年齢（５歳階級）,性別,国籍・地域,在留資格,在留外国人数
43101,43：熊本県,熊本市中央区,01_０～４歳,1:男,アフガニスタン,定住者,1
,,,,,インド,家族滞在,1
,,,,,インドネシア,家族滞在,1
,,,,,韓国,特別永住者,1
,,,,,台湾,家族滞在,3
,,,,,,定住者,1
,,,,,中国,家族滞在,4
,,,,,,永住者,3
,,,,,,永住者の配偶者等,1
,,,,,,定住者,1
,,,,,ネパール,家族滞在,6
,,,,,パキスタン,家族滞在,1
,,,,,バングラデシュ,家族滞在,1
,,,,,,永住者の配偶者等,2
,,,,,フィリピン,家族滞在,2
,,,,,,定住者,1
,,,,,ベトナム,家族滞在,5
,,,,,モンゴル,家族滞在,1
,,,,,,定住者,1
,,,,,カザフスタン,家族滞在,1
,,,,,エジプト,家族滞在,2
,,,,,ガーナ,家族滞在,1
,,,,,スーダン,家族滞在,1
,,,,,タンザニア,家族滞在,1
,,,,,米国,家族滞在,2
,,,,2:女,アフガニスタン,家族滞在,1
,,,,,,特定活動,2
,,,,,インドネシア,家族滞在,3
,,,,,韓国,特別永住者,2
,,,,,台湾,家族滞在,5
,,,,,,定住者,1
,,,,,中国,家族滞在,1
,,,,,,永住者,3
,,,,,,永住者の配偶者等,1
,,,,,,定住者,2
,,,,,ネパール,家族滞在,8
,,,,,バングラデシュ,家族滞在,2
,,,,,,永住者,1
,,,,,ベトナム,家族滞在,3
,,,,,,特定活動,3
,,,,,モンゴル,定住者,2
,,,,,エジプト,家族滞在,1
,,,,,スーダン,家族滞在,2
,,,,,タンザニア,家族滞在,5
,,,,,ナイジェリア,家族滞在,1
,,,,,米国,家族滞在,3
,,,02_５～９歳,1:男,インドネシア,家族滞在,1
,,,,,,定住者,2
,,,,,韓国,家族滞在,1
,,,,,台湾,家族滞在,2
,,,,,,定住者,1
,,,,,中国,家族滞在,5
,,,,,,永住者,9
,,,,,,永住者の配偶者等,1
,,,,,ネパール,家族滞在,1
,,,,,バングラデシュ,家族滞在,1
,,,,,モンゴル,家族滞在,2
,,,,,エジプト,家族滞在,2
,,,,,タンザニア,家族滞在,1
,,,,2:女,インドネシア,家族滞在,1
,,,,,韓国,家族滞在,1
,,,,,,定住者,1
,,,,,,特別永住者,1
,,,,,台湾,家族滞在,4
,,,,,中国,家族滞在,7
,,,,,,永住者,2
,,,,,,定住者,2
,,,,,ネパール,家族滞在,3
,,,,,パキスタン,家族滞在,2
,,,,,バングラデシュ,家族滞在,1
,,,,,フィリピン,永住者の配偶者等,1
,,,,,,定住者,1
,,,,,モンゴル,家族滞在,1
,,,,,ウズベキスタン,家族滞在,1
,,,,,エジプト,家族滞在,2
,,,,,スーダン,家族滞在,1
,,,,,ナイジェリア,家族滞在,1
,,,,,ブラジル,永住者の配偶者等,1
,,,03_10～14歳,1:男,韓国,家族滞在,1
,,,,,,定住者,1
,,,,,台湾,家族滞在,5
,,,,,,定住者,1
,,,,,中国,家族滞在,5
,,,,,,永住者,10
,,,,,,定住者,3
,,,,,ベトナム,家族滞在,1
,,,,,モンゴル,家族滞在,1
,,,,,アイスランド,家族滞在,1
,,,,,エジプト,家族滞在,1
,,,,,,定住者,1
,,,,,トンガ,永住者,1
,,,,2:女,台湾,家族滞在,11
,,,,,,定住者,2
,,,,,中国,家族滞在,5
,,,,,,永住者,9
,,,,,,定住者,1
,,,,,フィリピン,家族滞在,1
,,,,,,日本人の配偶者等,1
,,,,,,定住者,4
,,,,,ルーマニア,永住者,1
,,,,,米国,永住者,2
,,,,,トンガ,永住者,1
,,,04_15～19歳,1:男,インドネシア,技能実習１号ロ,3
,,,,,韓国,留学,1
,,,,,,特別永住者,1
,,,,,スリランカ,家族滞在,1
,,,,,台湾,留学,1
,,,,,,家族滞在,3
,,,,,中国,留学,17
,,,,,,家族滞在,1
,,,,,,永住者,6
,,,,,ネパール,留学,5
,,,,,フィリピン,永住者,2
,,,,,,定住者,2
,,,,,ベトナム,技能実習１号ロ,3
,,,,,,家族滞在,1
,,,,,モンゴル,家族滞在,1
,,,,,ガンビア,留学,1
,,,,,トンガ,永住者,2
,,,,2:女,インドネシア,特定技能１号,2
,,,,,,技能実習１号ロ,3
,,,,,韓国,留学,2
,,,,,,家族滞在,1
,,,,,,永住者,1
,,,,,スリランカ,永住者,2
,,,,,台湾,家族滞在,1
,,,,,,定住者,1
